,Forecasted Sales
2018-01-31,75259.0282502876
2018-02-28,73306.80020804856
2018-03-31,72862.10182742804
2018-04-30,72760.80390246856
2018-05-31,72737.72922972795
2018-06-30,72732.47304582981
2018-07-31,72731.27573874418
2018-08-31,72731.0030039455
2018-09-30,72730.94087763614
2018-10-31,72730.92672587284
2018-11-30,72730.9235022401
2018-12-31,72730.9227679282
